t_s,eta,masa
2.0,0.069823,2.430729e-03
4.0,0.010151,2.429550e-03
6.0,0.001798,2.429410e-03
8.0,0.000336,2.429388e-03
10.0,0.000064,2.429384e-03
12.0,0.000014,2.429382e-03
14.0,0.000009,2.429382e-03
16.0,0.000009,2.429381e-03
18.0,0.000009,2.429380e-03
20.0,0.000009,2.429380e-03
22.0,0.000009,2.429379e-03
24.0,0.000009,2.429378e-03
26.0,0.000009,2.429378e-03
28.0,0.000009,2.429377e-03
30.0,0.000009,2.429376e-03
32.0,0.000009,2.429376e-03
34.0,0.000009,2.429375e-03
36.0,0.000009,2.429375e-03
38.0,0.000009,2.429374e-03
40.0,0.000009,2.429373e-03
42.0,0.000009,2.429373e-03
44.0,0.000009,2.429372e-03
46.0,0.000009,2.429371e-03
48.0,0.000009,2.429371e-03
50.0,0.000009,2.429370e-03
52.0,0.000009,2.429369e-03
54.0,0.000009,2.429369e-03
56.0,0.000009,2.429368e-03
58.0,0.000009,2.429368e-03
60.0,0.000009,2.429367e-03
62.0,0.000009,2.429366e-03
64.0,0.000009,2.429366e-03
66.0,0.000009,2.429365e-03
68.0,0.000009,2.429364e-03
70.0,0.000009,2.429364e-03
72.0,0.000009,2.429363e-03
74.0,0.000009,2.429362e-03
76.0,0.000009,2.429362e-03
78.0,0.000009,2.429361e-03
80.0,0.000009,2.429361e-03
82.0,0.000009,2.429360e-03
84.0,0.000009,2.429359e-03
86.0,0.000009,2.429359e-03
88.0,0.000009,2.429358e-03
90.0,0.000009,2.429357e-03
92.0,0.000009,2.429357e-03
94.0,0.000009,2.429356e-03
96.0,0.000009,2.429355e-03
98.0,0.000009,2.429355e-03
100.0,0.000009,2.429354e-03
102.0,0.000009,2.429354e-03
104.0,0.000009,2.429353e-03
106.0,0.000009,2.429352e-03
108.0,0.000009,2.429352e-03
110.0,0.000009,2.429351e-03
112.0,0.000009,2.429350e-03
114.0,0.000009,2.429350e-03
116.0,0.000009,2.429349e-03
118.0,0.000009,2.429348e-03
120.0,0.000009,2.429348e-03
122.0,0.000009,2.429347e-03
124.0,0.000009,2.429347e-03
126.0,0.000009,2.429346e-03
128.0,0.000009,2.429345e-03
130.0,0.000009,2.429345e-03
132.0,0.000009,2.429344e-03
134.0,0.000009,2.429343e-03
136.0,0.000009,2.429343e-03
138.0,0.000009,2.429342e-03
140.0,0.000009,2.429341e-03
