t_s,eta,masa
2.0,0.877574,2.446537e-03
4.0,0.633095,2.443173e-03
6.0,0.472652,2.441420e-03
8.0,0.358215,2.440433e-03
10.0,0.273565,2.439850e-03
12.0,0.209595,2.439496e-03
14.0,0.160686,2.439277e-03
16.0,0.123063,2.439141e-03
18.0,0.094055,2.439055e-03
20.0,0.071701,2.439001e-03
22.0,0.054517,2.438966e-03
24.0,0.041352,2.438944e-03
26.0,0.031302,2.438929e-03
28.0,0.023656,2.438919e-03
30.0,0.017857,2.438913e-03
32.0,0.013470,2.438908e-03
34.0,0.010157,2.438905e-03
36.0,0.007659,2.438903e-03
38.0,0.005777,2.438901e-03
40.0,0.004359,2.438900e-03
42.0,0.003292,2.438899e-03
44.0,0.002489,2.438898e-03
46.0,0.001884,2.438898e-03
48.0,0.001427,2.438897e-03
50.0,0.001083,2.438897e-03
52.0,0.000823,2.438896e-03
54.0,0.000626,2.438896e-03
56.0,0.000478,2.438896e-03
58.0,0.000365,2.438896e-03
60.0,0.000279,2.438896e-03
62.0,0.000215,2.438896e-03
64.0,0.000165,2.438895e-03
66.0,0.000128,2.438895e-03
68.0,0.000100,2.438895e-03
70.0,0.000079,2.438895e-03
72.0,0.000063,2.438895e-03
74.0,0.000051,2.438895e-03
76.0,0.000042,2.438895e-03
78.0,0.000036,2.438895e-03
80.0,0.000032,2.438894e-03
82.0,0.000029,2.438894e-03
84.0,0.000027,2.438894e-03
86.0,0.000026,2.438894e-03
88.0,0.000025,2.438894e-03
90.0,0.000025,2.438894e-03
92.0,0.000025,2.438894e-03
94.0,0.000024,2.438894e-03
96.0,0.000024,2.438894e-03
98.0,0.000024,2.438893e-03
100.0,0.000024,2.438893e-03
102.0,0.000024,2.438893e-03
104.0,0.000024,2.438893e-03
106.0,0.000024,2.438893e-03
108.0,0.000024,2.438893e-03
110.0,0.000024,2.438893e-03
112.0,0.000024,2.438893e-03
114.0,0.000024,2.438893e-03
116.0,0.000024,2.438893e-03
118.0,0.000024,2.438892e-03
120.0,0.000024,2.438892e-03
122.0,0.000024,2.438892e-03
124.0,0.000024,2.438892e-03
126.0,0.000024,2.438892e-03
128.0,0.000024,2.438892e-03
130.0,0.000024,2.438892e-03
132.0,0.000024,2.438892e-03
134.0,0.000024,2.438892e-03
136.0,0.000024,2.438891e-03
138.0,0.000024,2.438891e-03
140.0,0.000024,2.438891e-03
142.0,0.000024,2.438891e-03
144.0,0.000024,2.438891e-03
146.0,0.000024,2.438891e-03
148.0,0.000024,2.438891e-03
150.0,0.000024,2.438891e-03
152.0,0.000024,2.438891e-03
154.0,0.000024,2.438891e-03
156.0,0.000024,2.438890e-03
158.0,0.000024,2.438890e-03
160.0,0.000024,2.438890e-03
162.0,0.000024,2.438890e-03
164.0,0.000024,2.438890e-03
166.0,0.000024,2.438890e-03
168.0,0.000024,2.438890e-03
170.0,0.000024,2.438890e-03
172.0,0.000024,2.438890e-03
174.0,0.000024,2.438889e-03
176.0,0.000024,2.438889e-03
178.0,0.000024,2.438889e-03
180.0,0.000024,2.438889e-03
182.0,0.000024,2.438889e-03
184.0,0.000024,2.438889e-03
186.0,0.000024,2.438889e-03
188.0,0.000024,2.438889e-03
190.0,0.000024,2.438889e-03
192.0,0.000024,2.438889e-03
194.0,0.000024,2.438888e-03
196.0,0.000024,2.438888e-03
198.0,0.000024,2.438888e-03
200.0,0.000024,2.438888e-03
202.0,0.000024,2.438888e-03
204.0,0.000024,2.438888e-03
206.0,0.000024,2.438888e-03
208.0,0.000024,2.438888e-03
210.0,0.000024,2.438888e-03
212.0,0.000024,2.438888e-03
214.0,0.000024,2.438887e-03
216.0,0.000024,2.438887e-03
218.0,0.000024,2.438887e-03
220.0,0.000024,2.438887e-03
222.0,0.000024,2.438887e-03
224.0,0.000024,2.438887e-03
226.0,0.000024,2.438887e-03
228.0,0.000024,2.438887e-03
230.0,0.000024,2.438887e-03
232.0,0.000024,2.438886e-03
234.0,0.000024,2.438886e-03
236.0,0.000024,2.438886e-03
238.0,0.000024,2.438886e-03
240.0,0.000024,2.438886e-03
242.0,0.000024,2.438886e-03
244.0,0.000024,2.438886e-03
246.0,0.000024,2.438886e-03
248.0,0.000024,2.438886e-03
250.0,0.000024,2.438886e-03
252.0,0.000024,2.438885e-03
254.0,0.000024,2.438885e-03
256.0,0.000024,2.438885e-03
258.0,0.000024,2.438885e-03
260.0,0.000024,2.438885e-03
262.0,0.000024,2.438885e-03
264.0,0.000024,2.438885e-03
266.0,0.000024,2.438885e-03
268.0,0.000024,2.438885e-03
270.0,0.000024,2.438884e-03
272.0,0.000024,2.438884e-03
274.0,0.000024,2.438884e-03
276.0,0.000024,2.438884e-03
278.0,0.000024,2.438884e-03
280.0,0.000024,2.438884e-03
282.0,0.000024,2.438884e-03
284.0,0.000024,2.438884e-03
286.0,0.000024,2.438884e-03
288.0,0.000024,2.438884e-03
290.0,0.000024,2.438883e-03
292.0,0.000024,2.438883e-03
294.0,0.000024,2.438883e-03
296.0,0.000024,2.438883e-03
298.0,0.000024,2.438883e-03
300.0,0.000024,2.438883e-03
302.0,0.000024,2.438883e-03
304.0,0.000024,2.438883e-03
306.0,0.000024,2.438883e-03
308.0,0.000024,2.438882e-03
310.0,0.000024,2.438882e-03
312.0,0.000024,2.438882e-03
314.0,0.000024,2.438882e-03
316.0,0.000024,2.438882e-03
318.0,0.000024,2.438882e-03
320.0,0.000024,2.438882e-03
322.0,0.000024,2.438882e-03
324.0,0.000024,2.438882e-03
326.0,0.000024,2.438882e-03
328.0,0.000024,2.438881e-03
330.0,0.000024,2.438881e-03
332.0,0.000024,2.438881e-03
334.0,0.000024,2.438881e-03
336.0,0.000024,2.438881e-03
338.0,0.000024,2.438881e-03
340.0,0.000024,2.438881e-03
342.0,0.000024,2.438881e-03
344.0,0.000024,2.438881e-03
346.0,0.000024,2.438880e-03
348.0,0.000024,2.438880e-03
350.0,0.000024,2.438880e-03
352.0,0.000024,2.438880e-03
354.0,0.000024,2.438880e-03
356.0,0.000024,2.438880e-03
358.0,0.000024,2.438880e-03
360.0,0.000024,2.438880e-03
362.0,0.000024,2.438880e-03
364.0,0.000024,2.438880e-03
366.0,0.000024,2.438879e-03
368.0,0.000024,2.438879e-03
370.0,0.000024,2.438879e-03
372.0,0.000024,2.438879e-03
374.0,0.000024,2.438879e-03
376.0,0.000024,2.438879e-03
378.0,0.000024,2.438879e-03
380.0,0.000024,2.438879e-03
382.0,0.000024,2.438879e-03
384.0,0.000024,2.438879e-03
386.0,0.000024,2.438878e-03
388.0,0.000024,2.438878e-03
390.0,0.000024,2.438878e-03
392.0,0.000024,2.438878e-03
394.0,0.000024,2.438878e-03
396.0,0.000024,2.438878e-03
398.0,0.000024,2.438878e-03
400.0,0.000024,2.438878e-03
402.0,0.000024,2.438878e-03
404.0,0.000024,2.438877e-03
406.0,0.000024,2.438877e-03
408.0,0.000024,2.438877e-03
410.0,0.000024,2.438877e-03
412.0,0.000024,2.438877e-03
414.0,0.000024,2.438877e-03
416.0,0.000024,2.438877e-03
418.0,0.000024,2.438877e-03
420.0,0.000024,2.438877e-03
422.0,0.000024,2.438877e-03
424.0,0.000024,2.438876e-03
426.0,0.000024,2.438876e-03
428.0,0.000024,2.438876e-03
430.0,0.000024,2.438876e-03
432.0,0.000024,2.438876e-03
434.0,0.000024,2.438876e-03
436.0,0.000024,2.438876e-03
438.0,0.000024,2.438876e-03
