fecha,experimento,hora,,co2,ch4
2025-09-09,1,15:21:13,,992,0
2025-09-09,1,15:21:43,,1008,0
2025-09-09,1,15:22:13,,997,0
2025-09-09,1,15:22:43,,996,0
2025-09-09,1,15:23:13,,1019,0
2025-09-09,1,15:23:43,,1081,0
2025-09-09,1,15:24:14,,1277,0
2025-09-09,1,15:24:43,,1556,0
2025-09-09,1,15:25:13,,1985,0
2025-09-09,1,15:25:43,,2603,0
2025-09-09,1,15:26:13,,3221,0
2025-09-09,1,15:26:43,,3792,0
2025-09-09,1,15:27:13,,4293,0
2025-09-09,1,15:27:43,,4738,0
2025-09-09,1,15:28:13,,5076,0
2025-09-09,1,15:28:43,,5644,200
2025-09-09,1,15:29:13,,5890,600
2025-09-09,1,15:29:43,,6000,800
2025-09-09,1,15:30:13,,6000,1200
2025-09-09,1,15:30:43,,6000,1400
2025-09-09,1,15:31:15,,6000,1600
2025-09-09,1,15:31:43,,6000,2000
2025-09-09,1,15:32:13,,6000,2200
2025-09-09,1,15:32:43,,6000,2400
2025-09-09,1,15:33:13,,6000,2600
2025-09-09,1,15:33:43,,6000,2800
2025-09-09,1,15:34:13,,6000,3000
2025-09-09,1,15:34:43,,6000,3200
2025-09-09,1,15:35:13,,6000,3600
2025-09-09,1,15:35:43,,6000,3800
2025-09-09,1,15:36:13,,6000,4000
2025-09-09,1,15:36:43,,6000,4100
2025-09-09,1,15:37:14,,6000,4200
2025-09-09,1,15:37:43,,6000,4300
2025-09-09,1,15:38:14,,6000,4400
2025-09-09,1,15:38:43,,6000,4500
2025-09-09,1,15:39:14,,6000,4600
2025-09-09,1,15:39:45,,6000,4600
2025-09-09,1,15:40:14,,6000,4700
2025-09-09,1,15:40:44,,6000,3400
,,,,,
2025-09-09,2,15:41:44,,855,0
2025-09-09,2,15:42:14,,799,0
2025-09-09,2,15:42:44,,787,0
2025-09-09,2,15:43:14,,870,0
2025-09-09,2,15:43:44,,1021,0
2025-09-09,2,15:44:14,,944,0
2025-09-09,2,15:44:44,,882,0
2025-09-09,2,15:45:14,,900,0
2025-09-09,2,15:45:44,,944,0
2025-09-09,2,15:46:14,,1100,0
2025-09-09,2,15:46:44,,1219,0
2025-09-09,2,15:47:14,,1352,0
2025-09-09,2,15:47:44,,1484,0
2025-09-09,2,15:48:14,,1607,0
2025-09-09,2,15:48:44,,1732,0
2025-09-09,2,15:49:14,,1844,0
2025-09-09,2,15:49:44,,1950,0
2025-09-09,2,15:50:14,,2058,0
2025-09-09,2,15:50:44,,2169,0
2025-09-09,2,15:51:14,,2280,0
2025-09-09,2,15:51:44,,2391,0
2025-09-09,2,15:52:14,,2502,0
2025-09-09,2,15:52:44,,2616,200
2025-09-09,2,15:53:14,,2737,400
2025-09-09,2,15:53:45,,2851,800
2025-09-09,2,15:54:14,,2959,1000
2025-09-09,2,15:54:45,,3088,1200
2025-09-09,2,15:55:15,,3202,1400
2025-09-09,2,15:55:45,,3326,1600
2025-09-09,2,15:56:15,,3453,1800
2025-09-09,2,15:56:45,,3569,2000
2025-09-09,2,15:57:15,,3691,2200
2025-09-09,2,15:57:45,,3813,2200
2025-09-09,2,15:58:15,,3938,2400
2025-09-09,2,15:58:45,,4081,2600
2025-09-09,2,15:59:15,,4245,2800
2025-09-09,2,15:59:45,,4406,3000
2025-09-09,2,16:00:15,,4536,3000
2025-09-09,2,16:00:45,,4673,3200
2025-09-09,2,16:01:15,,4821,3400
2025-09-09,2,16:01:45,,4973,3600
2025-09-09,2,16:02:15,,5123,3600
2025-09-09,2,16:02:45,,5253,3800
2025-09-09,2,16:03:15,,5383,4000
2025-09-09,2,16:03:45,,5532,4100
2025-09-09,2,16:04:15,,5688,4100
2025-09-09,2,16:04:45,,5788,4200
2025-09-09,2,16:05:15,,5855,4300
2025-09-09,2,16:05:45,,5959,4300
2025-09-09,2,16:06:15,,6000,4400
2025-09-09,2,16:06:45,,6000,4500
,,,,,
2025-09-09,3,16:07:16,,915,0
2025-09-09,3,16:07:45,,828,0
2025-09-09,3,16:08:15,,832,0
2025-09-09,3,16:08:45,,857,0
2025-09-09,3,16:09:16,,848,0
2025-09-09,3,16:09:47,,862,0
2025-09-09,3,16:10:16,,1021,0
2025-09-09,3,16:10:47,,1158,0
2025-09-09,3,16:11:46,,1625,1400
2025-09-09,3,16:12:16,,1860,2200
2025-09-09,3,16:12:46,,2120,3000
2025-09-09,3,16:13:16,,2429,3800
2025-09-09,3,16:13:46,,2740,4200
2025-09-09,3,16:14:16,,3071,4600
2025-09-09,3,16:14:46,,3407,4900
2025-09-09,3,16:15:16,,3737,5300
2025-09-09,3,16:15:46,,4039,5700
2025-09-09,3,16:16:16,,4396,6100
2025-09-09,3,16:16:46,,4744,6500
2025-09-09,3,16:17:16,,5059,6900
2025-09-09,3,16:17:46,,5382,7300
2025-09-09,3,16:18:16,,5699,7700
2025-09-09,3,16:18:46,,6000,8000
2025-09-09,3,16:19:16,,6000,7800
,,,,,
2025-09-09,4,16:19:46,,896,1800
2025-09-09,4,16:20:16,,817,0
2025-09-09,4,16:20:46,,809,0
2025-09-09,4,16:21:16,,784,0
2025-09-09,4,16:21:47,,773,0
2025-09-09,4,16:22:16,,775,0
2025-09-09,4,16:22:47,,868,0
2025-09-09,4,16:23:16,,972,0
2025-09-09,4,16:23:46,,1040,600
2025-09-09,4,16:24:17,,1130,1800
2025-09-09,4,16:24:46,,1200,3000
2025-09-09,4,16:25:17,,1256,4100
2025-09-09,4,16:25:47,,1305,4600
2025-09-09,4,16:26:17,,1324,5200
2025-09-09,4,16:26:47,,1340,6000
2025-09-09,4,16:27:17,,1350,6800
2025-09-09,4,16:27:47,,1357,7500
2025-09-09,4,16:28:17,,1367,8300
