Dia_Experimento,Etiqueta,Gas,Muestra_ID,Tasa_Produccion,Saturado,R2
9,D1_Tratamiento,co2,experimento1_D1_voraz_tenian_hambre_col1,335.3029411764706,True,0.8927226983137425
9,D1_Tratamiento,ch4,experimento1_D1_voraz_tenian_hambre_col1,135.4838709677419,False,0.8255150351446882
9,Control_Alimento_D1,co2,experimento4-alimento_D1_col1,26.501890989988876,False,0.8492028001531642
9,Control_Alimento_D1,ch4,experimento4-alimento_D1_col1,460.43956043956047,True,0.7881384846063372
9,D1_Tratamiento,co2,experimento3_D1_mas_real_col1,253.29813664596273,True,0.946517258804941
9,D1_Tratamiento,ch4,experimento3_D1_mas_real_col1,420.34313725490193,True,0.8882441231185523
9,D1_Tratamiento,co2,generacion_co2_larvas_D1_col1,253.29813664596273,True,0.946517258804941
9,Control_Alimento_D4,co2,experimento4-alimento-D4_col1,25.826028921023358,False,0.9209757948032344
9,Control_Alimento_D4,ch4,experimento4-alimento-D4_col1,257.1428571428571,True,0.6996649565490525
9,D4_Tratamiento,co2,experimento2_D4_col1,114.42402669632925,False,0.9968127082754058
9,D4_Tratamiento,ch4,experimento2_D4_col1,45.383759733036705,False,0.532820383606094
11,D1_Tratamiento,co2,experimento1_D1_col1,159.12216748768472,True,0.7618050704769322
11,D1_Tratamiento,ch4,experimento1_D1_col1,152.6315789473684,True,0.2861156962312413
11,Control_Alimento_D4,co2,experimento_alimento_D4_col1,27.192880978865404,False,0.9910199539936752
11,Control_Alimento_D4,ch4,experimento_alimento_D4_col1,754.2857142857143,True,0.5395540875309663
11,D4_Tratamiento,co2,experimento2_D4_col1,192.54822954822956,True,0.9906453718942511
11,D4_Tratamiento,ch4,experimento2_D4_col1,628.5714285714286,True,0.42857142857142866
11,Larvas_Generacion_Base,co2,generacion_co2_larvas_col1,159.12216748768472,True,0.7618050704769322
11,Control_Alimento_D1,co2,experimento_alimento_D1_col1,34.821733821733815,False,0.9924429595533274
11,Control_Alimento_D1,ch4,experimento_alimento_D1_col1,370.0,True,0.9300271739130436
13,D1_Tratamiento,co2,experimento1_D1_col1,143.00155728587313,False,0.9563133580890972
13,D1_Tratamiento,ch4,experimento1_D1_col1,205.3837597330367,False,0.9021614872749767
13,Control_Alimento_D4,co2,experimento_alimento_D4_col1,34.62513904338154,False,0.9978537588093578
13,Control_Alimento_D4,ch4,experimento_alimento_D4_col1,264.22466422466425,True,0.9111582493076176
13,D4_Tratamiento,co2,experimento2_D4_col1,56.08676307007786,False,0.8883872010389868
13,D4_Tratamiento,ch4,experimento2_D4_col1,96.01779755283647,False,0.5927861052001291
13,Larvas_Generacion_Base,co2,generacion_co2_larvas_col1,143.00155728587313,False,0.9563133580890972
13,Control_Alimento_D1,co2,experimento_alimento_D1_col1,40.22180200222469,False,0.8124486482146195
13,Control_Alimento_D1,ch4,experimento_alimento_D1_col1,103.33704115684093,False,0.5505393247186436
17,Larvas_Ayuno,co2,larvas_solas_col1,14.276529477196885,False,0.9553816194801504
17,Larvas_Ayuno,ch4,larvas_solas_col1,286.7391304347826,True,0.8560151938968557
17,D4_Tratamiento,co2,experimento_D4_col1,39.96774193548387,False,0.9978693046406609
17,D4_Tratamiento,ch4,experimento_D4_col1,40.0,True,0.008213552361396302
17,Control_Alimento_D4,co2,alimento_D4_col1,54.07430478309232,False,0.9893761914726452
17,Control_Alimento_D4,ch4,alimento_D4_col1,468.2352941176471,True,0.934592011328102
