Datasæt,Larvae/Prepupae,Condition,tp,WW,δwater,δDW,DW,Lipid,δlipid,δlipid,δprotein,δash,δvolatile solids,Reference,,Data read from graph,,,Data calculated
,Lipid data,,days,mg,% WW,% WW,mg,mg,% WW,% DW,% DW,% DW,% DW,,,,,,
1,P,0%,"19,54",295,,"35,2","103,84",,,"34,4",,,,"Knudsen AKS, Jespersen EE, Markwardt MJ, Johansen A, Ortind AP, Terp M, Eriksen NT (in press) Effects of fish oil on growth kinetics and lipid accumulation in black soldier fly larvae. Journal of Insects as Food and Feed. https://doi.org/10.3920/JIFF2021.0083",,,,,
1,P,10%,"21,48",292,,"35,7","104,244",,,"37,6",,,,,,,,,
1,P,20%,"24,5",280,,"35,6","99,68",,,"37,3",,,,,,,,,
1,P,30%,"29,74",219,,"35,4","77,526",,,"51,9",,,,,,,,,
2,P,1.0,"25,57416859",200,,"30,75","61,5",,,"26,27","50,53",,,"El-Dakar MA, Ramzy RR, Ji H (2021) Influence of substrate inclusion of quail manure on the growth performance, body composition, fatty acid and amino acid profiles of black soldier fly larvae (Hermetia illucens). Journal of the total Environment 772: 145528",,,,,
2,P,1.20,"19,02","202,2",,"31,64","63,97608",,,"25,8","50,93",,,,,,,,
2,P,1.40,"18,966","212,7",,"32,84","69,85068",,,28,"49,41",,,,,,,,
2,P,1.60,"18,993","147,1",,"31,61","46,49831",,,"24,93","50,31",,,,,,,,
2,P,1.80,"18,993","148,1",,"29,29","43,37849",,,"19,77","51,07",,,,,,,,
2,P,1.100,"22,94","136,6",,"25,92","35,40672",,,"11,63","49,51",,,,,,,,
3,L,CF,16,,,,"66,818","18,717",,"28,01191296","40,20",,,"Liu, X., Chen, X., Wang, H., Yang, Q., Rehman, Ku., Li, W., Cai, M., Li, Q., Mazza, L., Zhang, J., Yu, Z. and Zheng, L., 2017. Dynamic changes of nutrient composition throughout the entire life cycle of black soldier fly. PLoS ONE 12: e0182601.",,,,,
4,L,200,"16,818",,,,"98,246",,,,,,,"Diener, S., Zurbrügg, C., Tockner, K. 2009. Conversion of organic material by black soldier fly larvae: establishing optimal feeding rates. Waste Manage. Res. 27, 603-610.",,,,,
4,L,100,"16,591",,,,100,,,,,,,,,,,,
4,L,50,"19,659",,,,"72,982",,,,,,,,,,,,
4,L,25,"30,568",,,,"41,053",,,,,,,,,,,,
4,L,"12,5","42,727",,,,"37,544",,,,,,,,,,,,
5,L,BA0,,"134,6465",,"36,6","49,280619",,,"33,8","40,00","5,1","94,9","Liland NS, Biancarosa I, Araujo P, Biemans D, Bruckner CG, Rune Waagbø, Torstensen BE, Lock1 E-J (2017) Modulation of nutrient composition of black soldier fly (Hermetia illucens) larvae by feeding seaweed-enriched media. PLoS ONE 12: e0183188.",,,,,
5,L,BA50,,"51,6305",,"30,7","15,8505635",,,"22,2","33,70","10,5","89,5",,,,,,
5,L,BA100,,"27,355",,"23,1","6,319005",,,"8,1","41,30","15,8","84,2",,,,,,
6,L,100%DS,30,34,,21,"6,9",,,,,15,85,"Laganaro, M., Bahrndorff, S. and Eriksen, N.T., 2021. Growth and metabolic performance of black soldier fly larvae grown on low and high-quality substrates. Waste Management 121: 198-205.",,,,,
6,P,75%DS,23,167,,23,38,,,,,15,85,,,,,,
6,P,50%DS,22,185,,24,45,,,,,14,86,,,,,,
6,P,25%DS,19,249,,27,67,,,,,10,90,,,,,,
6,P,0%DS,17,308,,30,94,,,,,5,95,,,,,,
7,P,P0,18,"243,617",,"28,46","69,3333982",,,"25,968","54,31",,,"El-Dakar MA, Ramzy RR, Wang D, Ji H (2021) Sustainable management of Se-rich silkworm residuals by black soldier ﬂies larvae to produce a high nutritional value and accumulate x-3 PUFA. Waste Management 124: 72–81",,,,,
7,P,P20,18,"272,34",,"31,752","86,4733968",,,"26,129","54,32",,,,,,,,
7,P,P40,18,"260,638",,"30,531","79,57538778",,,"28,065","54,32",,,,,,,,
7,P,P60,18,"236,17",,"27,292","64,4555164",,,"20,484","54,32",,,,,,,,
7,P,P80,20,"245,745",,"28,142","69,1575579",,,"24,194","54,32",,,,,,,,
7,P,P100,20,"254,255",,"29,044","73,8458222",,,"30,968","54,32",,,,,,,,
8,L,CM,,,,,"80,7",,,"30,1","41,10","9,3","90,7","Shumo M, Osuga IM, Khamis FM, Tanga CM, Fiaboe KKM, Subramanian S, Ekesi S, van Huis A, Christian Borgemeister C (2019) The nutritive value of black soldier fly larvae reared on common organic waste streams in Kenya. Scientific Reports 9:10110",,,,,
8,L,KW,,,,,"87,7",,,"34,3","33,00","9,6","90,4",,,,,,
8,L,SG,,,,,"83,1",,,31,"41,30","11,6","88,4",,,,,,
9,P,Feed,,"193,5293333","66,5","33,5","64,83232667","7,7798792","4,02",12,"14,70",,,"Nguyen TTX, Tomberlin JK, Vanlaerhoven S (2015) Ability of Black Soldier Fly (Diptera: Stratiomyidae) Larvae to Recycle Food. Environ. Entomol. 44: 406–410",,,,,
9,P,Liver,,"181,1763333","55,3","44,7","80,985821","15,20069437","8,39","18,76957494","21,00",,,,,,,,
9,P,Fruits,,"172,255","71,8","28,2","48,57591","3,824061","2,22","7,872340426","12,90",,,,,,,,
9,P,Fish,,"168,1373333","53,4","46,6","78,35199733","21,35344133","12,7","27,25321888","19,40",,,,,,,,
10,L,F,52,174,"61,646","38,354","66,73596","36,03192","20,708","53,99176096","11,74","2,739","97,261","Jucker C, Erba D, Leonardi MG, Lupi D, Savoldelli S (2017) Assessment of Vegetable and Fruit Substrates as Potential Rearing Media for Hermetia illucens (Diptera: Stratiomyidae) Larvae. Environmental Entomology, 46: 1415–1423",,,,,
10,L,V,"48,33",184,"78,212","21,788","40,08992","3,51808","1,912","8,775472737","13,70","3,522","96,478",,,,,,
10,L,FV,"36,67",154,"63,717","36,283","55,87582","18,39838","11,947","32,92726621","18,00","3,913","96,087",,,,,,
11,P,0%,,"211,14",,"30,72","64,862208",,,"24,9","53,56",,,"El-Dakar MA, Ramzy RR, Ji H, Plath M (2020) Bioaccumulation of residual omega-3 fatty acids from industrial Schizochytrium microalgal waste using black soldier ﬂy (Hermetia illucens) larvae. Journal of Cleaner Production 268: 122288",,,,,
11,P,10%,,"201,528",,"28,54","57,5160912",,,"22,83","52,28",,,,,,,,
11,P,20%,,"206,658",,"26,46","54,6817068",,,"23,03","52,98",,,,,,,,
11,P,30%,,"201,528",,"31,98","64,4486544",,,"30,67","47,38",,,,,,,,
11,P,40%,,"223,29",,"32,98","73,641042",,,"33,6","42,95",,,,,,,,
11,P,50%,,"216,891",,"33,32","72,2680812",,,"38,77","37,86",,,,,,,,
12,P,Standard,"17,32",,,,"58,7",,,"36,38","50,55","3,97","96,03","Liu Z, Minor M, Morel PCH, Najar-Rodriguez AJ (2018) Bioconversion of Three Organic Wastes by Black Soldier Fly (Diptera: Stratiomyidae) Larvae. Environmental Entomology, 47: 1609–1617",,,,,
12,P,Brewers waste,"14,97",,,,"45,48",,,"33,71","49,89","5,72","94,28",,,,,,
12,P,Pig manure,"17,3",,,,"24,16",,,"17,53","45,94","21,95","78,05",,,,,,
12,P,Semidigested grass,70,,,,"12,98",,,"5,51","46,39","29,57","70,43",,,,,,
13,P,Purchased,,,66,34,,,,"37,1","32,00",19,81,"Caligiani A, Marseglia A, Leni, Baldassarre S, Maistrello L, Dossena A, Sforza S (2018) Composition of black soldier ﬂy prepupae and systematic approaches for extraction and fractionation of proteins, lipids and chitin. Food Research International 105: 812–820",,,,,
14,L,Spent coffee,,110,"69,322","30,678","33,7458",,,"31,186",,,,"Fischer H, Romano,N, Sinha AK (2021) Conversion of Spent Coffee and Donuts by Black Soldier Fly (Hermetia illucens) Larvae into Potential Resources for Animal and Plant Farming. Insects 12: 332.",,,,,
14,L,Bland 1:1,,180,"64,068","35,932","64,6776",,,"38,644",,,,,,,,,
14,L,Dough,,230,60,40,92,,,"45,932",,,,,,,,,
14,P,Spent coffee,,110,60,40,44,,,"36,102",,,,,,,,,
14,P,Bland 1:1,,190,"57,627","42,373","80,5087",,,"46,441",,,,,,,,,
14,P,Dough,,230,"59,661","40,339","92,7797",,,"43,051",,,,,,,,,
15,L,Control,,"225,3",,"35,73013759","80,5",,,"38,9","29,00","9,1","90,9","Beniers JJA, Graham RI (2019) Effect of protein and carbohydrate feed concentrations on the growth and composition of black soldier fly (Hermetia illucens) larvae. Journal of Insects as Food and Feed: 5: 193 - 199",,,,,
15,L,P1C1,,"155,77",,"30,39738075","47,35",,,"24,14","36,36",,,,,,,,
15,L,P1C2,,"150,3",,"32,6081171","49,01",,,"25,39","36,35",,,,,,,,
15,L,P1C3,,"150,98",,"31,42138032","47,44",,,"26,53","35,93",,,,,,,,
15,L,P1C4,,"154,98",,"31,62988773","49,02",,,"26,14","35,80",,,,,,,,
15,L,P1C5,,"148,16",,"31,43898488","46,58",,,"25,54","34,90",,,,,,,,
15,L,P2C1,,"145,66",,"31,82754359","46,36",,,"25,51","37,75",,,,,,,,
15,L,P2C2,,"133,89",,"31,36156546","41,99",,,"23,85","37,96",,,,,,,,
15,L,P2C3,,"154,69",,"21,67560928","33,53",,,"23,93","37,58",,,,,,,,
15,L,P3C3,,"165,24",,"32,89760349","54,36",,,"29,24","36,00",,,,,,,,
15,L,P3C4,,"169,06",,"33,38459718","56,44",,,"30,47","36,07",,,,,,,,
15,L,P3C5,,"171,37",,"31,74417926","54,4",,,"29,6","36,33",,,,,,,,
15,L,P4C1,,"194,68",,"32,02691596","62,35",,,"32,47","34,15",,,,,,,,
15,L,P4C2,,"176,48",,"33,43155032",59,,,"30,57","34,37",,,,,,,,
15,L,P4C3,,"199,6",,"32,87074148","65,61",,,"31,13","34,62",,,,,,,,
15,L,P4C4,,"184,8",,"33,18181818","61,32",,,"30,13","34,96",,,,,,,,
15,L,P4C5,,"195,46",,"32,68699478","63,89",,,"31,7","34,16",,,,,,,,
16,L,VEGFRU,,,,"21,96",,,,"26,28","41,88","12,98","87,02","Meneguz M, Schiavone A, Gai F, Dama A, Lussiana C, Rennaa Ml Gasco L (2018) Eﬀect of rearing substrate on growth performance, waste reduction eﬃciency and chemical composition of black soldier ﬂy (Hermetia illucens) larvae. J Sci Food Agric 98: 5776–5784",,,,,
16,L,Fruits,,,,"28,29",,,,"40,7","30,75","7,22","92,78",,,,,,
16,L,WIN,,,,"26,54",,,,"32,22","34,43","14,57","85,43",,,,,,
16,L,BRE ,,,,"29,08",,,,"29,87","52,96","7,3","92,7",,,,,,
17,L,Bread,,127,,"35,5","45,085",,,"57,8","39,20","3,9","96,1","Ewald, N., Vidakovic, A., Langeland, M., Kiessling, A., Sampels, S. and Lalander, C., 2020. Fatty acid composition of black soldier fly larvae (Hermetia illucens) – possibilities and limitations for modification through diet. Waste Management 102: 40-47.",,,,,
17,L,Fish,,89,,27,"24,03",,,"46,7","52,60","5,7","94,3",,,,,,
17,L,Food waste,,191,,33,"63,03",,,"40,7","36,60","16,3","83,7",,,,,,
17,L,Fresh mussel,,235,,"31,3","73,555",,,"33,1","44,60","18,7","81,3",,,,,,
17,L,Ensiled mussel,,25,,"27,3","6,825",,,"11,2",,33,67,,,,,,
17,L,Roten mussel,,106,,"27,5","29,15",,,"29,7","42,30","22,6","77,4",,,,,,
17,L,BandM 10%,,133,,"40,5","53,865",,,"20,4","32,80","30,9","69,1",,,,,,
17,L,BandM 20%,,181,,"35,7","64,617",,,"19,6","34,20","31,1","68,9",,,,,,
17,L,BandM 30%,,168,,"34,2","57,456",,,"17,9","33,80","30,7","69,3",,,,,,
17,L,BandM 40%,,138,,"33,2","45,816",,,"17,9","36,10","30,9","69,1",,,,,,
17,L,BandM 50%,,131,,"32,6","42,706",,,"16,1","37,90","29,6","70,4",,,,,,
18,L,Control,,"290,4",,"30,2","87,7008",,,"30,8",,,,"Tschirner M, Simon A (2015) Influence of different growing substrates and processing on the nutrient composition of black soldier fly larvae destined for animal feed. Journal of Insects as Food and Feed 1: 249-259",,,,,
18,L,Protein,,"277,7",,"30,2","83,8654",,,"36,6",,,,,,,,,
18,L,Fibre,,"34,8",,"17,9","6,2292",,,"3,4",,,,,,,,,
19,L,50/1,"22,5",,,,"13,043",,,"5,676","49,34",,,"Barragan-Fonseca, K.B., Dicke, M., and van Loon, J.J.A., 2018. Influence of larval density and dietary nutrient concentration on performance, body protein, and fat contents of black soldier fly larvae (Hermetia illucens). Entomologia Experimentalis et Applicata 166: 761-770",,,,,
