batch,exp,gas,pend_ppm_min,flujo_mL_h,saturado,n_usados,n_total
9,experimento_D1,co2,430.2,294.3,True,19,23
9,experimento_D1,ch4,810.4,554.3,False,23,23
9,experimento_D1_alimento,co2,47.7,32.7,False,35,35
9,experimento_D1_alimento,ch4,1484.1,1015.1,False,34,34
9,experimento_D4,co2,234.6,160.5,True,34,45
9,experimento_D4,ch4,215.0,147.1,False,51,51
9,experimento_D4_alimento,co2,57.5,39.3,False,41,41
9,experimento_D4_alimento,ch4,880.1,602.0,False,41,41
11,experimento_D1,co2,276.7,189.2,True,27,30
11,experimento_D1,ch4,1786.8,1222.2,False,30,30
11,experimento_D1_alimento,co2,66.8,45.7,False,27,27
11,experimento_D1_alimento,ch4,696.7,476.6,False,27,27
11,experimento_D4,co2,374.7,256.3,True,23,29
11,experimento_D4,ch4,1913.5,1308.9,False,29,29
11,experimento_D4_alimento,co2,53.2,36.4,False,33,33
11,experimento_D4_alimento,ch4,812.4,555.7,False,34,34
13,experimento_D1,co2,273.3,187.0,True,35,48
13,experimento_D1,ch4,336.3,230.0,False,48,48
13,experimento_D1_alimento,co2,102.0,69.8,False,56,56
13,experimento_D1_alimento,ch4,434.9,297.5,False,56,56
13,experimento_D4,co2,146.6,100.3,True,57,71
13,experimento_D4,ch4,352.8,241.3,False,71,71
13,experimento_D4_alimento,co2,61.6,42.1,False,55,55
13,experimento_D4_alimento,ch4,403.8,276.2,False,55,55
17,experimento_D4,co2,82.0,56.1,False,41,41
17,experimento_D4,ch4,2039.4,1394.9,False,41,41
17,experimento_D4_alimento,co2,101.5,69.4,False,41,41
17,experimento_D4_alimento,ch4,618.5,423.1,False,40,40
