t_h,T_cama_C,T_aire_C,CO2_ppm,CH4_ppm,T_cama_sensor,T_aire_sensor,CO2_sensor_ppm,CH4_sensor_ppm
0.000000000000000000e+00,2.600000000000000000e+01,2.500000000000000000e+01,4.200000000000000000e+02,1.999999999999999778e+00,2.609141512392632833e+01,2.506240189431024845e+01,4.305311794935606713e+02,2.144230479118624189e+00
1.000000000000000000e+00,2.571708691815103620e+01,2.531640025471096322e+01,2.513038573789870952e+03,1.979793168479413268e+01,2.540509168627888670e+01,2.554746266193230397e+01,2.539376521498026705e+03,1.930224617337317383e+01
2.000000000000000000e+00,2.547909526071618558e+01,2.521147886576033059e+01,2.772278159651250462e+03,2.142764130305655002e+01,2.570423061945812293e+01,2.533323116020521937e+01,2.970435247793858707e+03,1.965440183624997772e+01
3.000000000000000000e+00,2.527870068618754118e+01,2.512313217524818754e+01,2.788274916595115428e+03,2.096834161176302302e+01,2.556087010110490354e+01,2.466487427352856798e+01,2.823422956497035557e+03,1.987269993667154111e+01
4.000000000000000000e+00,2.511016493334819444e+01,2.504883045437545874e+01,2.775876967647766378e+03,2.031359396566931608e+01,2.452485437675204238e+01,2.510970380018151005e+01,2.808163454251183794e+03,1.927653912493776645e+01
5.000000000000000000e+00,2.496865044605646844e+01,2.498644098282817083e+01,2.763699206391437656e+03,1.970804406746050219e+01,2.457799659399777426e+01,2.500084769747468627e+01,2.749859048752469334e+03,1.975945577062291747e+01
6.000000000000000000e+00,2.485007113125254818e+01,2.493416240072117418e+01,2.755151390317223104e+03,1.917406487335336962e+01,2.488842325220273466e+01,2.501694045779571240e+01,2.822661625300097512e+03,1.891152350540615856e+01
7.000000000000000000e+00,2.475097071938812832e+01,2.489047100149711866e+01,2.750258392607234782e+03,1.870510176249996803e+01,2.465609794168505431e+01,2.521371293782735989e+01,2.801832767232054266e+03,1.839007795092095066e+01
8.000000000000000000e+00,2.466842266596921363e+01,2.485407661566858550e+01,2.748625059488493207e+03,1.829188449444867715e+01,2.466338231871792530e+01,2.444142896030763623e+01,2.851840741272415471e+03,1.885866033312809265e+01
9.000000000000000000e+00,2.459994686293159205e+01,2.482388588872360202e+01,2.749845258432348601e+03,1.792594979778553821e+01,2.434403368465951800e+01,2.470566520368538121e+01,2.706838537754543268e+03,1.823057923089777077e+01
1.000000000000000000e+01,2.454344044814897430e+01,2.479897177693241517e+01,2.753544867334597257e+03,1.759990507268364013e+01,2.480725984060782352e+01,2.491715304149108690e+01,2.717577446964878163e+03,1.787802569877180048e+01
1.100000000000000000e+01,2.449711904012925245e+01,2.477854763966937313e+01,2.759406434551076927e+03,1.730753178889156985e+01,2.473045662075793771e+01,2.446222875977858635e+01,2.719745223372226519e+03,1.766218774155200677e+01
1.200000000000000000e+01,2.445946780337361304e+01,2.476194566599859925e+01,2.767154627481674197e+03,1.704355283593975301e+01,2.447927701264197609e+01,2.505713547560930010e+01,2.832802746747101537e+03,1.756860902434727123e+01
1.300000000000000000e+01,2.442920315824118305e+01,2.474859999407525990e+01,2.776547038664527918e+03,1.680346280074846632e+01,2.476737552033159417e+01,2.482227131661539232e+01,2.901356252115023381e+03,1.503241702253493273e+01
1.400000000000000000e+01,2.440523447533274748e+01,2.473802982394968453e+01,2.787377636701146457e+03,1.658347245213263577e+01,2.454548727800836261e+01,2.490734662111836428e+01,2.749008784818628101e+03,1.628128986628608388e+01
1.500000000000000000e+01,2.438663436396176110e+01,2.472982631918387852e+01,2.799471467926705373e+03,1.638039733135744669e+01,2.412884662509678790e+01,2.461563758687951875e+01,2.763797209988256327e+03,1.459476197524934626e+01
